Cluster	Motif 1	Motif 2	Number of genes in cluster with both motifs	Total number of genes with both motifs	Number of genes in cluster	Raw p-value	Adjusted p-value (BH)	Adjusted p-value (Bonf)	Adjusted p-value (Global Bonf)	Genes
Meso	M_001	M_002	0	537	154	1	1	1	1	
Meso	M_001	M_003	1	845	154	0.993222	0.993222	1	1	AT4G01419;
Meso	M_001	M_004	4	579	154	0.433387	0.752315	1	1	AT4G01067;AT4G01108;AT4G01109;AT4G01216;
Meso	M_001	M_005	2	750	154	0.934085	0.934085	1	1	AT4G01067;AT4G01544;
Meso	M_001	M_006	3	532	154	0.598624	0.752315	1	1	AT4G01159;AT4G01349;AT4G01487;
Meso	M_001	M_007	4	728	154	0.612322	0.752315	1	1	AT4G01072;AT4G01179;AT4G01180;AT4G01481;
Meso	M_001	M_008	2	619	154	0.877002	0.877002	1	1	AT4G01285;AT4G01544;
Meso	M_001	M_009	3	604	154	0.683586	0.752315	1	1	AT4G01072;AT4G01180;AT4G01544;
Meso	M_001	M_010	2	595	154	0.862545	0.862545	1	1	AT4G01197;AT4G01391;
Meso	M_001	M_011	1	575	154	0.965976	0.965976	1	1	AT4G01067;
Meso	M_001	M_012	3	633	154	0.713828	0.752315	1	1	AT4G01108;AT4G01216;AT4G01419;
Meso	M_001	M_013	2	793	154	0.946588	0.946588	1	1	AT4G01376;AT4G01544;
Meso	M_001	M_014	2	523	154	0.809481	0.809481	1	1	AT4G01216;AT4G01391;
Meso	M_001	M_015	9	546	154	0.00469545	0.131482	0.7231	1	AT4G01102;AT4G01159;AT4G01179;AT4G01197;AT4G01349;AT4G01391;AT4G01419;AT4G01481;AT4G01487;
Meso	M_001	M_016	1	757	154	0.988511	0.988511	1	1	AT4G01067;
Meso	M_001	M_017	2	701	154	0.916498	0.916498	1	1	AT4G01108;AT4G01481;
Meso	M_001	M_018	2	541	154	0.824231	0.824231	1	1	AT4G01112;AT4G01179;
Meso	M_001	M_019	2	625	154	0.880392	0.880392	1	1	AT4G01067;AT4G01109;
Meso	M_001	M_020	2	737	154	0.929792	0.929792	1	1	AT4G01067;AT4G01419;
Meso	M_001	M_021	2	476	154	0.765711	0.765711	1	1	AT4G01112;AT4G01216;
Meso	M_001	M_022	2	742	154	0.931473	0.931473	1	1	AT4G01073;AT4G01180;
Meso	M_001	M_023	1	494	154	0.944973	0.944973	1	1	AT4G01391;
Meso	M_001	M_024	2	558	154	0.837217	0.837217	1	1	AT4G01180;AT4G01544;
Meso	M_001	M_025	5	686	154	0.366741	0.752315	1	1	AT4G01102;AT4G01109;AT4G01112;AT4G01349;AT4G01391;
Meso	M_001	M_026	1	629	154	0.975327	0.975327	1	1	AT4G01376;
