Cluster	Motif 1	Motif 2	Number of genes in cluster with both motifs	Total number of genes with both motifs	Number of genes in cluster	Raw p-value	Adjusted p-value (BH)	Adjusted p-value (Bonf)	Adjusted p-value (Global Bonf)	Genes
cortex	AHL12	AHL12_2	3	251	442	0.790565	0.790565	1	1	AT1G05680;AT2G20120;AT4G02170;
cortex	AHL12	AHL12_3ARY	16	747	442	0.183819	0.494296	1	1	AT1G44170;AT1G52760;AT1G62660;AT1G62975;AT1G65840;AT2G02780;AT2G15960;AT2G26690;AT2G46930;AT3G24120;AT3G55720;AT4G10390;AT4G12520;AT5G02230;AT5G23220;AT5G28010;
cortex	AHL12	AHL20	7	318	442	0.280104	0.533603	1	1	AT1G15820;AT1G44170;AT1G52760;AT1G65840;AT2G22470;AT3G55720;AT5G36180;
cortex	AHL12	AHL20_2	11	619	442	0.455409	0.533603	1	1	AT1G14580;AT1G26970;AT1G44170;AT1G62790;AT1G69930;AT2G02780;AT3G24120;AT4G00430;AT4G35250;AT5G03150;AT5G40730;
cortex	AHL12	AHL20_3ARY	21	824	442	0.0364738	0.218843	1	1	AT1G01110;AT1G05680;AT1G12500;AT1G14330;AT1G15640;AT1G19450;AT1G26970;AT1G44170;AT1G52760;AT1G57560;AT1G62660;AT1G69150;AT2G22470;AT3G24120;AT3G44860;AT4G02170;AT4G10390;AT4G12420;AT4G12520;AT5G02230;AT5G19240;
cortex	AHL12	AHL25	1	132	442	0.891485	0.891485	1	1	AT1G14580;
cortex	AHL12	AHL25_2	6	367	442	0.574169	0.574169	1	1	AT1G44170;AT1G52760;AT2G22470;AT3G55720;AT5G36180;AT5G47140;
cortex	AHL12	AHL25_3ARY	1	29	442	0.38551	0.533603	1	1	AT1G26970;
cortex	AHL12	ANAC46	13	678	442	0.340967	0.533603	1	1	AT1G26970;AT1G44830;AT1G65840;AT1G69150;AT1G69930;AT2G22470;AT3G07460;AT3G09780;AT4G12430;AT4G35250;AT5G02270;AT5G03150;AT5G65430;
cortex	AHL12	ANAC55	17	806	442	0.190776	0.494296	1	1	AT1G01360;AT1G08630;AT1G14330;AT1G21070;AT1G26970;AT1G32400;AT1G44170;AT1G44830;AT1G62660;AT2G02780;AT2G15960;AT3G09780;AT4G12430;AT4G35250;AT5G03150;AT5G20280;AT5G66580;
cortex	AHL12	ANAC55_2	15	883	442	0.504694	0.533603	1	1	AT1G08630;AT1G32400;AT1G44170;AT1G62660;AT2G02780;AT3G05890;AT3G09780;AT4G02170;AT4G12430;AT5G03150;AT5G14340;AT5G36180;AT5G40730;AT5G65380;AT5G66580;
cortex	AHL12	ANAC58	10	636	442	0.616573	0.616573	1	1	AT1G19450;AT1G26970;AT1G69930;AT3G07460;AT3G09780;AT4G12430;AT4G19860;AT4G32480;AT4G35250;AT5G20280;
cortex	AHL12	ARR11	17	693	442	0.0735216	0.294087	1	1	AT1G08630;AT1G12500;AT1G21070;AT1G30380;AT1G62660;AT2G04780;AT2G15960;AT2G16980;AT2G44670;AT2G46930;AT3G28740;AT4G20150;AT4G32480;AT5G36180;AT5G40730;AT5G44020;AT5G67390;
cortex	AHL12	ARR11_2	16	664	442	0.0908328	0.363331	1	1	AT1G12500;AT1G15640;AT1G21070;AT1G44170;AT1G62790;AT1G69930;AT2G04780;AT2G22470;AT2G36830;AT3G05150;AT3G07460;AT3G24120;AT4G32480;AT5G03150;AT5G44020;AT5G67390;
cortex	AHL12	ARR11_3ARY	15	816	442	0.384088	0.533603	1	1	AT1G07650;AT1G08630;AT1G15640;AT1G44170;AT1G65840;AT2G04780;AT2G15960;AT2G25770;AT2G27820;AT3G07460;AT5G20280;AT5G23220;AT5G65090;AT5G66580;AT5G67390;
cortex	AHL12	ARR14	16	634	442	0.0665714	0.28603	1	1	AT1G08630;AT1G12500;AT1G44830;AT1G62660;AT2G04780;AT2G15960;AT2G16980;AT2G17680;AT2G25770;AT2G44670;AT3G28740;AT4G20150;AT4G32480;AT5G36180;AT5G65430;AT5G67390;
cortex	AHL12	ARR14_2	15	686	442	0.173457	0.494296	1	1	AT1G12500;AT1G15640;AT1G21070;AT1G44170;AT2G04780;AT2G15960;AT3G05150;AT3G07460;AT3G24120;AT4G20150;AT4G24275;AT4G32480;AT5G03150;AT5G44020;AT5G67390;
cortex	AHL12	ARR14_3ARY	19	782	442	0.0658151	0.28603	1	1	AT1G12500;AT1G15640;AT1G15820;AT1G21070;AT1G65840;AT2G04780;AT2G15960;AT2G16980;AT2G20680;AT2G25770;AT3G07460;AT4G12430;AT5G03150;AT5G20280;AT5G40730;AT5G65090;AT5G65430;AT5G66580;AT5G67390;
cortex	AHL12	AT1G77200	21	680	442	0.00530312	0.0622353	1	1	AT1G01360;AT1G05680;AT1G12500;AT1G32400;AT1G57560;AT1G78100;AT2G04780;AT2G20120;AT2G20880;AT2G36830;AT2G46930;AT3G05890;AT3G09780;AT3G24190;AT3G61420;AT4G12420;AT4G12430;AT5G02270;AT5G15900;AT5G55850;AT5G65430;
cortex	AHL12	AT4G35610	13	573	442	0.162568	0.487704	1	1	AT1G08630;AT1G32400;AT2G20120;AT3G18830;AT4G12420;AT4G12520;AT4G35250;AT5G14340;AT5G20280;AT5G28010;AT5G44020;AT5G55850;AT5G67390;
cortex	AHL12	AT5G28300	15	806	442	0.366209	0.533603	1	1	AT1G01110;AT1G05680;AT1G14460;AT1G62790;AT1G69930;AT1G76490;AT2G15960;AT2G20680;AT2G36830;AT2G44670;AT2G46930;AT3G09780;AT3G25760;AT4G39030;AT5G23220;
cortex	AHL12	ATERF1	17	594	442	0.0222761	0.155933	1	1	AT1G05680;AT1G30380;AT1G78100;AT2G20680;AT2G36830;AT2G43340;AT2G46930;AT3G05890;AT3G24190;AT3G55720;AT3G61420;AT4G32480;AT4G35250;AT5G02270;AT5G40730;AT5G55850;AT5G65430;
cortex	AHL12	ATERF1_2	25	653	442	0.0001133	0.00388226	0.0500787	1	AT1G05680;AT1G07650;AT1G15625;AT1G15640;AT1G78100;AT2G15960;AT2G20120;AT2G20680;AT2G22470;AT2G36830;AT2G43340;AT2G44670;AT2G46930;AT3G05890;AT3G07460;AT3G24190;AT3G25760;AT3G61420;AT4G32480;AT4G35250;AT5G02270;AT5G15900;AT5G55850;AT5G65430;AT5G66580;
cortex	AHL12	ATHB12	16	673	442	0.099084	0.375104	1	1	AT1G15625;AT1G52760;AT1G62660;AT1G76490;AT2G04780;AT2G16580;AT2G17680;AT3G05150;AT3G25760;AT3G55720;AT3G61420;AT4G12420;AT4G32480;AT5G14340;AT5G36180;AT5G40730;
cortex	AHL12	ATHB51	7	330	442	0.31153	0.533603	1	1	AT1G05680;AT1G12500;AT1G15640;AT2G17680;AT2G22470;AT4G12520;AT5G02230;
cortex	AHL12	BZIP60	18	754	442	0.0816671	0.326668	1	1	AT1G05680;AT1G14330;AT1G14580;AT1G15640;AT1G19450;AT1G65840;AT2G16580;AT2G20880;AT3G24190;AT3G28740;AT4G35250;AT5G02270;AT5G14340;AT5G20280;AT5G55850;AT5G65090;AT5G65380;AT5G65430;
cortex	AHL12	BZIP60_2	16	692	442	0.117992	0.375104	1	1	AT1G15820;AT1G44170;AT1G57560;AT2G16580;AT2G22470;AT3G05890;AT3G09780;AT3G24190;AT4G12430;AT4G32480;AT4G35250;AT5G02270;AT5G55850;AT5G65380;AT5G65430;AT5G66580;
cortex	AHL12	CCA1	13	973	442	0.826476	0.826476	1	1	AT1G10200;AT1G13210;AT1G32400;AT1G44170;AT1G76490;AT2G04780;AT2G15960;AT4G00430;AT4G24275;AT5G20280;AT5G23220;AT5G66580;AT5G67390;
cortex	AHL12	CCA1_2	14	794	442	0.451035	0.533603	1	1	AT1G07650;AT1G15820;AT1G21070;AT1G62660;AT2G04780;AT2G15960;AT2G16980;AT2G25770;AT2G38300;AT3G07460;AT4G20150;AT5G44020;AT5G65430;AT5G67390;
cortex	AHL12	DAG2	22	859	442	0.0313524	0.188115	1	1	AT1G01360;AT1G14460;AT1G19450;AT1G27670;AT1G30380;AT1G44170;AT1G47480;AT1G69930;AT2G16980;AT2G27820;AT2G43340;AT3G09780;AT3G55720;AT3G57800;AT4G10390;AT4G12420;AT4G30170;AT4G32480;AT5G02270;AT5G24410;AT5G40730;AT5G47140;
cortex	AHL12	DDF1	19	747	442	0.045801	0.229005	1	1	AT1G01360;AT1G12500;AT1G14580;AT1G19450;AT1G32400;AT1G57560;AT1G78100;AT3G05890;AT3G07460;AT3G09780;AT3G18830;AT3G24190;AT3G61420;AT4G12430;AT5G02270;AT5G15900;AT5G23220;AT5G65090;AT5G65380;
cortex	AHL12	DEAR3	18	614	442	0.0153424	0.122739	1	1	AT1G01360;AT1G05680;AT1G12500;AT1G27670;AT2G20120;AT2G20880;AT2G36830;AT2G43340;AT2G46930;AT3G05890;AT3G09780;AT3G24190;AT3G25760;AT3G55720;AT3G61420;AT4G12420;AT5G02270;AT5G65430;
cortex	AHL12	DEAR3_2	15	662	442	0.142628	0.427883	1	1	AT1G12500;AT1G15640;AT1G52760;AT1G57560;AT1G78100;AT2G15960;AT2G20880;AT2G36830;AT3G05890;AT3G55720;AT3G61420;AT4G12430;AT4G32480;AT5G02230;AT5G02270;
cortex	AHL12	DEAR4	18	674	442	0.0344536	0.206722	1	1	AT1G05680;AT1G12500;AT1G32400;AT1G57560;AT1G78100;AT2G04780;AT2G20120;AT2G20880;AT2G36830;AT3G05890;AT3G09780;AT3G24190;AT3G61420;AT4G12420;AT4G12430;AT5G02270;AT5G55850;AT5G65430;
cortex	AHL12	DEAR4_2	17	617	442	0.0304904	0.182942	1	1	AT1G01360;AT1G05680;AT1G27670;AT1G78100;AT2G20120;AT2G20880;AT2G36830;AT2G43340;AT2G46930;AT3G05890;AT3G09780;AT3G25760;AT3G55720;AT3G61420;AT4G32480;AT5G02270;AT5G65430;
cortex	AHL12	DOF5.7	10	667	442	0.675051	0.675051	1	1	AT1G12500;AT1G44170;AT2G26690;AT2G46930;AT4G00430;AT4G12430;AT4G19860;AT4G32480;AT5G03150;AT5G65430;
